word,day_427,day_428,day_429,day_430
aa,5739,18459,7253,16595
aaa,8137,11759,6307,8406
aah,24927,28650,40725,38940
aahs,43739,43141,55117,58449
aal,34812,30636,61011,46156
aam,24659,28588,70248,44437
aardvark,20446,12414,32019,10124
aargh,65280,60184,44546,71513
aaron,5051,23122,9683,37873
aas,33358,23587,49554,22844
ab,15733,11996,7039,8778
aba,31064,16823,15231,5045
abac,54422,72637,43719,32878
abaca,62701,47597,33115,31208
aback,26490,44281,40659,43938
abacus,36440,24172,47038,53537
abada,80688,74373,76427,78138
abalone,10725,10317,11024,53086
abandon,7742,3426,1212,15338
abandonment,37187,16999,11112,31760
abandonments,64363,70520,45765,36513
abas,68016,69526,77850,72843
abase,70653,38499,73757,73207
abasement,74458,48530,72150,27711
abashed,73348,59813,57127,54147
abassi,80061,69962,81404,65889
abate,46508,20295,16888,37701
abatement,40763,12138,24279,27303
abattoir,42217,34720,39863,11693
abb,58335,53453,57338,27641
abba,16483,11984,15040,705
abbas,17299,28590,17167,46246
abbasi,36035,61539,68520,62750
abbasid,46977,63938,73291,79929
abbate,65552,76596,61341,78092
abbe,51702,63833,42154,70808
abbess,71923,59163,67755,64640
abbey,8220,10113,4121,9188
abbie,20432,8258,26850,20159
abbot,13083,29680,16503,16359
abbott,7956,30461,19077,24138
abbreviate,17345,25168,19734,17569
abbreviation,19048,22848,25831,6887
abby,5606,1765,7868,7943
abc,2590,4240,4663,5525
abd,33281,23746,24004,28104
abdicate,62858,51116,61849,38393
abdication,35587,62917,71272,48484
abdomen,30533,5018,23488,13985
abdominal,24415,13449,23665,7899
abduct,41684,44004,22551,42822
abduction,25169,48463,25511,40555
abductor,70417,34811,34335,13893
abe,8758,16294,21975,45767
abeam,54489,20112,45772,77702
abed,43783,48794,48863,42975
abel,16208,36299,5441,16471
abele,62853,52555,76337,76204
abeles,79692,81102,75078,78425
abend,52172,46028,60127,74680
aberdeen,10475,19535,3420,33915
abernethy,56331,59649,27687,79706
aberrant,55173,49488,69839,61895
aberration,58296,57160,32783,44718
aberrational,78315,79210,79502,75483
abet,46426,29499,34890,56700
abetment,75505,79200,70654,59901
abetter,52151,69351,72852,45973
abettor,55987,80926,56617,78101
